"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2021-02-11,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-11,"BC","Vancouver Coastal","All",131,97.43
2021-02-11,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",39,35.57
2021-02-11,"BC","Vancouver Coastal","Richmond",5,4.14
2021-02-11,"BC","Vancouver Coastal","Unknown",0,0
2021-02-11,"BC","Vancouver Coastal","Vancouver",87,57.71
2021-02-11,"BC","Vancouver Island","All",15,23.71
2021-02-11,"BC","Vancouver Island","Central Vancouver Island",9,15.86
2021-02-11,"BC","Vancouver Island","North Vancouver Island",0,0.71
2021-02-11,"BC","Vancouver Island","South Vancouver Island",6,7.14
2021-02-11,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2021-02-12,"BC","All","All",451,432.29
2021-02-12,"BC","Fraser","All",232,226.14
2021-02-12,"BC","Fraser","Fraser East",21,42.14
2021-02-12,"BC","Fraser","Fraser North",101,71.43
2021-02-12,"BC","Fraser","Fraser South",110,112.43
2021-02-12,"BC","Fraser","Unknown",0,0.14
2021-02-12,"BC","Interior","All",42,43
2021-02-12,"BC","Interior","East Kootenay",1,0.57
2021-02-12,"BC","Interior","Kootenay Boundary",0,0
2021-02-12,"BC","Interior","Okanagan",23,13.43
2021-02-12,"BC","Interior","Thompson Cariboo Shuswap",18,29
2021-02-12,"BC","Northern","All",63,45.14
2021-02-12,"BC","Northern","Northeast",10,7.29
2021-02-12,"BC","Northern","Northern Interior",27,15.71
2021-02-12,"BC","Northern","Northwest",26,22.14
2021-02-12,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-12,"BC","Vancouver Coastal","All",97,97.29
2021-02-12,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",25,34
2021-02-12,"BC","Vancouver Coastal","Richmond",10,4.14
2021-02-12,"BC","Vancouver Coastal","Unknown",0,0
2021-02-12,"BC","Vancouver Coastal","Vancouver",62,59.14
2021-02-12,"BC","Vancouver Island","All",17,20.71
2021-02-12,"BC","Vancouver Island","Central Vancouver Island",13,13.57
2021-02-12,"BC","Vancouver Island","North Vancouver Island",0,0.71
2021-02-12,"BC","Vancouver Island","South Vancouver Island",4,6.43
2021-02-12,"Out of Canada","Out of Canada","Out of Canada",1,1
2021-02-13,"BC","All","All",447,427.29
2021-02-13,"BC","Fraser","All",238,226.57
2021-02-13,"BC","Fraser","Fraser East",37,41.86
2021-02-13,"BC","Fraser","Fraser North",104,78.86
2021-02-13,"BC","Fraser","Fraser South",96,105.57
2021-02-13,"BC","Fraser","Unknown",1,0.29
2021-02-13,"BC","Interior","All",35,40.71
2021-02-13,"BC","Interior","East Kootenay",0,0.43
2021-02-13,"BC","Interior","Kootenay Boundary",0,0
2021-02-13,"BC","Interior","Okanagan",9,11.86
2021-02-13,"BC","Interior","Thompson Cariboo Shuswap",26,28.43
2021-02-13,"BC","Northern","All",47,41.14
2021-02-13,"BC","Northern","Northeast",12,7.57
2021-02-13,"BC","Northern","Northern Interior",14,13.43
2021-02-13,"BC","Northern","Northwest",21,20.14
2021-02-13,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-13,"BC","Vancouver Coastal","All",112,99.29
2021-02-13,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",28,32.86
2021-02-13,"BC","Vancouver Coastal","Richmond",8,5
2021-02-13,"BC","Vancouver Coastal","Unknown",0,0
2021-02-13,"BC","Vancouver Coastal","Vancouver",76,61.43
2021-02-13,"BC","Vancouver Island","All",15,19.57
2021-02-13,"BC","Vancouver Island","Central Vancouver Island",9,13.43
2021-02-13,"BC","Vancouver Island","North Vancouver Island",2,0.86
2021-02-13,"BC","Vancouver Island","South Vancouver Island",4,5.29
2021-02-13,"Out of Canada","Out of Canada","Out of Canada",3,1.29
2021-02-14,"BC","All","All",360,429.29
2021-02-14,"BC","Fraser","All",209,229.14
2021-02-14,"BC","Fraser","Fraser East",42,41.57
2021-02-14,"BC","Fraser","Fraser North",67,81
2021-02-14,"BC","Fraser","Fraser South",100,106.43
2021-02-14,"BC","Fraser","Unknown",0,0.14
2021-02-14,"BC","Interior","All",12,39.14
2021-02-14,"BC","Interior","East Kootenay",1,0.57
2021-02-14,"BC","Interior","Kootenay Boundary",0,0
2021-02-14,"BC","Interior","Okanagan",5,12.14
2021-02-14,"BC","Interior","Thompson Cariboo Shuswap",6,26.43
2021-02-14,"BC","Northern","All",27,40.14
2021-02-14,"BC","Northern","Northeast",5,6.71
2021-02-14,"BC","Northern","Northern Interior",10,13.86
2021-02-14,"BC","Northern","Northwest",12,19.57
2021-02-14,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-14,"BC","Vancouver Coastal","All",99,103
2021-02-14,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",25,33
2021-02-14,"BC","Vancouver Coastal","Richmond",11,6
2021-02-14,"BC","Vancouver Coastal","Unknown",0,0
2021-02-14,"BC","Vancouver Coastal","Vancouver",63,64
2021-02-14,"BC","Vancouver Island","All",13,17.86
2021-02-14,"BC","Vancouver Island","Central Vancouver Island",3,11
2021-02-14,"BC","Vancouver Island","North Vancouver Island",1,1
2021-02-14,"BC","Vancouver Island","South Vancouver Island",9,5.86
2021-02-14,"Out of Canada","Out of Canada","Out of Canada",0,1
2021-02-15,"BC","All","All",322,419.14
2021-02-15,"BC","Fraser","All",196,226.29
2021-02-15,"BC","Fraser","Fraser East",43,42
2021-02-15,"BC","Fraser","Fraser North",77,84.43
2021-02-15,"BC","Fraser","Fraser South",75,99.57
2021-02-15,"BC","Fraser","Unknown",1,0.29
2021-02-15,"BC","Interior","All",15,34.71
2021-02-15,"BC","Interior","East Kootenay",0,0.29
2021-02-15,"BC","Interior","Kootenay Boundary",0,0
2021-02-15,"BC","Interior","Okanagan",6,11.43
2021-02-15,"BC","Interior","Thompson Cariboo Shuswap",9,23
2021-02-15,"BC","Northern","All",10,37.57
2021-02-15,"BC","Northern","Northeast",3,7
2021-02-15,"BC","Northern","Northern Interior",3,12.29
2021-02-15,"BC","Northern","Northwest",4,18.29
2021-02-15,"BC","Northern","Unknown HSDA - Northern HA",0,0
2021-02-15,"BC","Vancouver Coastal","All",81,103.29
2021-02-15,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",20,31
2021-02-15,"BC","Vancouver Coastal","Richmond",10,6.86
2021-02-15,"BC","Vancouver Coastal","Unknown",0,0
2021-02-15,"BC","Vancouver Coastal","Vancouver",51,65.43
2021-02-15,"BC","Vancouver Island","All",20,17.29
2021-02-15,"BC","Vancouver Island","Central Vancouver Island",16,11.43
2021-02-15,"BC","Vancouver Island","North Vancouver Island",2,0.86
2021-02-15,"BC","Vancouver Island","South Vancouver Island",2,5
2021-02-15,"Out of Canada","Out of Canada","Out of Canada",1,1
2021-02-16,"BC","All","All",391,407.29
2021-02-16,"BC","Fraser","All",196,219
2021-02-16,"BC","Fraser","Fraser East",18,34.43
2021-02-16,"BC","Fraser","Fraser North",77,85.14
2021-02-16,"BC","Fraser","Fraser South",101,99.14
2021-02-16,"BC","Fraser","Unknown",0,0.29
2021-02-16,"BC","Interior","All",39,33.57
2021-02-16,"BC","Interior","East Kootenay",0,0.29
2021-02-16,"BC","Interior","Kootenay Boundary",0,0
2021-02-16,"BC","Interior","Okanagan",6,10.86
2021-02-16,"BC","Interior","Thompson Cariboo Shuswap",33,22.43
2021-02-16,"BC","Northern","All",15,32.29
2021-02-16,"BC","Northern","Northeast",1,5.71
2021-02-16,"BC","Northern","Northern Interior",2,10.43
2021-02-16,"BC","Northern","Northwest",12,16.14
2021-02-16,"BC","Northern","Unknown HSDA - Northern HA",0,0
